excel_row,source,owner,dc_name,country,city,address,lat,long,match_count,matched_excel_rows,matched_names,matched_owners
990,DC Byte,Equinix,KL1 IBX,Malaysia,Sepang,"Jalan Cyber Point 4, Cyber 8, 63000 Cyberjaya, Selangor, Malaysia",2.90472889,101.65077,14,8495; 9993; 10464; 10465; 10466; 10467; 11028; 14925; 15022; 15026; 15027; 15028; 15029; 20439,AIMS Data Center; CBJ8; CJ1; CJ1; CJ1; CJ1 Centre; Cyberjaya II campus; KL1; Kuala Lumpur; KUL11; KUL12; KUL13; KUL14; STT Kuala Lumpur 1,"Bridge Data Centres (International) Pte. Ltd.; TM ONE Berhad; AIMS Data Centre Sdn Bhd; AIMS Data Centre Sdn Bhd; AIMS Data Centre Sdn Bhd; Vantage Data Centers Management Company, LLC; Vantage Data Centers Management Company, LLC; Equinix, Inc.; Microsoft Corporation; Vantage Data Centers Management Company, LLC; Vantage Data Centers Management Company, LLC; Vantage Data Centers Management Company, LLC; Vantage Data Centers Management Company, LLC; STT Global Data Centres India Private Limited"
991,DC Byte,Vantage Data Centers,KUL14,Malaysia,Sepang,"Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.904910323,101.6508167,14,8495; 9993; 10464; 10465; 10466; 10467; 11028; 14925; 15022; 15026; 15027; 15028; 15029; 20439,AIMS Data Center; CBJ8; CJ1; CJ1; CJ1; CJ1 Centre; Cyberjaya II campus; KL1; Kuala Lumpur; KUL11; KUL12; KUL13; KUL14; STT Kuala Lumpur 1,"Bridge Data Centres (International) Pte. Ltd.; TM ONE Berhad; AIMS Data Centre Sdn Bhd; AIMS Data Centre Sdn Bhd; AIMS Data Centre Sdn Bhd; Vantage Data Centers Management Company, LLC; Vantage Data Centers Management Company, LLC; Equinix, Inc.; Microsoft Corporation; Vantage Data Centers Management Company, LLC; Vantage Data Centers Management Company, LLC; Vantage Data Centers Management Company, LLC; Vantage Data Centers Management Company, LLC; STT Global Data Centres India Private Limited"
992,DC Byte,DAMAC Digital,Cyberjaya,Malaysia,Cyberjaya,"Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.905116763,101.6559089,3,10962; 11010; 16789,CSF; CX1; MY01,CSF Group plc; CSF Group plc; CSF Group plc
993,DC Byte,STT GDC Malaysia,Kuala Lumpur 1,Malaysia,Cyberjaya,"Cyberjaya, Malaysia.",2.905690168,101.6514911,3,9249; 13215; 16791,Basis Bay Data Centre; Green Datacentre; MY02 (CX5),Keppel DC REIT; Keppel DC REIT; Bridge Data Centres (International) Pte. Ltd.
994,DC Byte,STT GDC Malaysia,Cyberjaya DC.2,Malaysia,Sepang,"Cyberjaya, Malaysia.",2.905830547,101.6514883,3,9249; 13215; 16791,Basis Bay Data Centre; Green Datacentre; MY02 (CX5),Keppel DC REIT; Keppel DC REIT; Bridge Data Centres (International) Pte. Ltd.
995,DC Byte,Equinix,KL2,Malaysia,Sepang,"Cyberjaya, 63000, Selangor, Malaysia",2.906910487,101.6444163,0,,,
996,DC Byte,PiDC,Cyberjaya,Malaysia,Cyberjaya,"Cyberjaya,  Malaysia",2.907822359,101.6462576,3,9249; 13215; 16791,Basis Bay Data Centre; Green Datacentre; MY02 (CX5),Keppel DC REIT; Keppel DC REIT; Bridge Data Centres (International) Pte. Ltd.
997,DC Byte,Bridge Data Centres,Southville City,Malaysia,Kajang Municipal Council,"Mah Sing DC Hub, Southville City, 43800 Dengkil, Selangor, Malaysia",2.91255862,101.7567509,0,,,
998,DC Byte,Digital Realty,CX1 (TelcoHub),Malaysia,Sepang,"3552, CSF Building Level 2, Jalan Teknokrat 6, 63000 Cyberjaya, Selangor, Malaysia",2.912764863,101.655661,3,10962; 11010; 16789,CSF; CX1; MY01,CSF Group plc; CSF Group plc; CSF Group plc
999,DC Byte,Bridge Data Centres,MY02 Expansion,Malaysia,Sepang,"MY02, Jalan Cyber Point 2, Cyber 12, 63000 Cyberjaya, Selangor, Malaysia",2.912978337,101.6471351,3,9249; 13215; 16791,Basis Bay Data Centre; Green Datacentre; MY02 (CX5),Keppel DC REIT; Keppel DC REIT; Bridge Data Centres (International) Pte. Ltd.
1000,DC Byte,Finexus,Towers,Malaysia,Cyberjaya,"Block 19, Lingkaran Cyber Point Timur, Cyber 12, 63000 Cyberjaya, Selangor, Malaysia",2.913231344,101.6520469,3,9249; 13215; 16791,Basis Bay Data Centre; Green Datacentre; MY02 (CX5),Keppel DC REIT; Keppel DC REIT; Bridge Data Centres (International) Pte. Ltd.
1001,DC Byte,Bridge Data Centres,MY02,Malaysia,Sepang,"Cyberjaya, 63000 Selangor, Malaysia",2.913516756,101.6494816,3,9249; 13215; 16791,Basis Bay Data Centre; Green Datacentre; MY02 (CX5),Keppel DC REIT; Keppel DC REIT; Bridge Data Centres (International) Pte. Ltd.
1002,DC Byte,Infinaxis,Cyberjaya,Malaysia,Cyberjaya,"Cyberjaya, Malaysia.",2.91621835,101.6552161,12,9992; 10963; 11011; 11012; 11013; 11014; 11015; 11016; 11017; 11018; 14271; 16790,CBJ6; CSF JV; CX2; CX2; CX2; CX2; CX2; CX2; CX2; CX2; Infinaxis; MY01 (CX2),Bridge Data Centres (International) Pte. Ltd.; CSF Group plc; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Infinaxis; Bridge Data Centres (International) Pte. Ltd.
1003,DC Byte,Infinaxis,Cyberjaya 2,Malaysia,Sepang,"Jalan Teknokrat 7, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.916819042,101.6548424,3,9991; 11024; 15023,CBJ5; Cyberjaya 3 Rimba Digital1; Kuala Lumpur,"CSF Group plc; NTT Global Data Centers Preparatory Corporation; Amazon.com, Inc."
1004,DC Byte,Bridge Data Centres,MY01,Malaysia,Sepang,"MY01, 7118, Jalan Impact, 63000 Cyberjaya, Selangor, Malaysia",2.917060172,101.6620602,12,9992; 10963; 11011; 11012; 11013; 11014; 11015; 11016; 11017; 11018; 14271; 16790,CBJ6; CSF JV; CX2; CX2; CX2; CX2; CX2; CX2; CX2; CX2; Infinaxis; MY01 (CX2),Bridge Data Centres (International) Pte. Ltd.; CSF Group plc; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Infinaxis; Bridge Data Centres (International) Pte. Ltd.
1005,DC Byte,AIMS,Cyberjaya DC2,Malaysia,Sepang,"AIMS CYBERJAYA, Jalan Teknokrat 1/2, Cyber 3, 63000 Cyberjaya, Selangor, Malaysia",2.917883011,101.6629588,13,8493; 9992; 10963; 11011; 11012; 11013; 11014; 11015; 11016; 11017; 11018; 14271; 16790,AIMS @ Cyberjaya - Phase II; CBJ6; CSF JV; CX2; CX2; CX2; CX2; CX2; CX2; CX2; CX2; Infinaxis; MY01 (CX2),AIMS Data Centre Sdn Bhd; Bridge Data Centres (International) Pte. Ltd.; CSF Group plc; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Infinaxis; Bridge Data Centres (International) Pte. Ltd.
1006,DC Byte,AIMS,Cyberjaya Expansion,Malaysia,Sepang,"AIMS CYBERJAYA, Jalan Teknokrat 1/2, Cyber 3, 63000 Cyberjaya, Selangor, Malaysia",2.918243851,101.6638781,12,9992; 10963; 11011; 11012; 11013; 11014; 11015; 11016; 11017; 11018; 14271; 16790,CBJ6; CSF JV; CX2; CX2; CX2; CX2; CX2; CX2; CX2; CX2; Infinaxis; MY01 (CX2),Bridge Data Centres (International) Pte. Ltd.; CSF Group plc; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Bridge Data Centres (International) Pte. Ltd.; Infinaxis; Bridge Data Centres (International) Pte. Ltd.
1007,DC Byte,Telekom Malaysia,CBJ2,Malaysia,Sepang,"Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.920414794,101.6416537,2,9990; 21039,CBJ2 Data Centre; TM Net Datacenter,TM ONE Berhad; Everworks
1008,DC Byte,NTT Global Data Centers,Cyberjaya,Malaysia,Cyberjaya,"43000, Persiaran APEC, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.925410223,101.6585592,9,9989; 10045; 11021; 11022; 11023; 11025; 11026; 11027; 21040,CBJ1; Century Square CSQ1; Cyberjaya; Cyberjaya 1; Cyberjaya 2; Cyberjaya 4 (plus Annex and SORA); Cyberjaya 5; Cyberjaya 6; TM Netmyne Datacentre,TM ONE Berhad; Hitachi Sunway Information Systems Sdn Bhd; Leapgreenity; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; TM ONE Berhad
1009,DC Byte,NTT Global Data Centers,Cyberjaya 3 (CBJ3),Malaysia,Sepang,"Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.926811196,101.65799,9,9989; 10045; 11021; 11022; 11023; 11025; 11026; 11027; 21040,CBJ1; Century Square CSQ1; Cyberjaya; Cyberjaya 1; Cyberjaya 2; Cyberjaya 4 (plus Annex and SORA); Cyberjaya 5; Cyberjaya 6; TM Netmyne Datacentre,TM ONE Berhad; Hitachi Sunway Information Systems Sdn Bhd; Leapgreenity; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; TM ONE Berhad
1010,DC Byte,NTT Global Data Centers,Cyberjaya 4 (CBJ4),Malaysia,Sepang,"Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.926828362,101.6585008,9,9989; 10045; 11021; 11022; 11023; 11025; 11026; 11027; 21040,CBJ1; Century Square CSQ1; Cyberjaya; Cyberjaya 1; Cyberjaya 2; Cyberjaya 4 (plus Annex and SORA); Cyberjaya 5; Cyberjaya 6; TM Netmyne Datacentre,TM ONE Berhad; Hitachi Sunway Information Systems Sdn Bhd; Leapgreenity; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; TM ONE Berhad
1011,DC Byte,NTT Global Data Centers,Cyberjaya 5 (CBJ5),Malaysia,Sepang,"Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.926838639,101.659142,9,9989; 10045; 11021; 11022; 11023; 11025; 11026; 11027; 21040,CBJ1; Century Square CSQ1; Cyberjaya; Cyberjaya 1; Cyberjaya 2; Cyberjaya 4 (plus Annex and SORA); Cyberjaya 5; Cyberjaya 6; TM Netmyne Datacentre,TM ONE Berhad; Hitachi Sunway Information Systems Sdn Bhd; Leapgreenity; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; TM ONE Berhad
1012,DC Byte,NTT Global Data Centers,Cyberjaya 4 Annex,Malaysia,Sepang,"Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.926842346,101.658855,9,9989; 10045; 11021; 11022; 11023; 11025; 11026; 11027; 21040,CBJ1; Century Square CSQ1; Cyberjaya; Cyberjaya 1; Cyberjaya 2; Cyberjaya 4 (plus Annex and SORA); Cyberjaya 5; Cyberjaya 6; TM Netmyne Datacentre,TM ONE Berhad; Hitachi Sunway Information Systems Sdn Bhd; Leapgreenity; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; TM ONE Berhad
1013,DC Byte,NTT Global Data Centers,Cyberjaya 6 (CBJ6),Malaysia,Sepang,"Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.927318192,101.6591733,9,9989; 10045; 11021; 11022; 11023; 11025; 11026; 11027; 21040,CBJ1; Century Square CSQ1; Cyberjaya; Cyberjaya 1; Cyberjaya 2; Cyberjaya 4 (plus Annex and SORA); Cyberjaya 5; Cyberjaya 6; TM Netmyne Datacentre,TM ONE Berhad; Hitachi Sunway Information Systems Sdn Bhd; Leapgreenity; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; NTT Global Data Centers Preparatory Corporation; TM ONE Berhad
