Facility Owner,Count,% of Total,Search Company Name
Türk Telekomünikasyon Anonim Sirketi,4,0.03,Türk Telekomünikasyon Anonim Sirketi
"The Peterson Companies, LLC",4,0.03,The Peterson Companies
PlusServer AG,4,0.03,PlusServer
Digital Crossroad,4,0.03,Digital Crossroad
Eclairion Paris Sud,4,0.03,Eclairion Paris Sud
Greystoke Land Ltd.,4,0.03,Greystoke Land
Elisa,4,0.03,Elisa
CINECA Consorzio Interuniversitario,4,0.03,CINECA Consorzio Interuniversitario
Brasil Telecom Serviços De Internet S.a,4,0.03,Brasil Telecom Serviços De Internet
Seeweb SRL,4,0.03,Seeweb
Epsilon Telecommunications (Sp) Pte Ltd.,4,0.03,Epsilon Telecommunications
Hanoi Telecoms Co.,4,0.03,Hanoi Telecoms
Zhejiang Radio And Tv Development Corporation,4,0.03,Zhejiang Radio And Tv Development
Hyperco Data Center Strategies I Topco I Oy,4,0.03,Hyperco Data Center Strategies I Topco I
"Navégalo.com, SA",4,0.03,Navégalo.com
"Shenzhen Humeng Technology Co., Ltd",4,0.03,Shenzhen Humeng Technology
M1 Limited,4,0.03,M1
Internexa S.A.,4,0.03,Internexa
Portus Data Centers S.à R.l.,4,0.03,Portus Data Centers S.à R.l
SpaceDC,4,0.03,SpaceDC
Li Ang Data,4,0.03,Li Ang Data
K2 Data Centres,4,0.03,K2 Data Centres
CEC International Holdings Limited,4,0.03,CEC International
Mitsubishi Electric Information Network Corporation,4,0.03,Mitsubishi Electric Information Network
"BroadBand Tower, Inc.",4,0.03,BroadBand Tower
Provision Data Systems,4,0.03,Provision Data Systems
IntelionMine,4,0.03,IntelionMine
Ab Stokab,4,0.03,Ab Stokab
ESDS Software Solution Limited,4,0.03,ESDS Software Solution
K-Opticom Corporation,4,0.03,K-Opticom
"Yuqing County Yunshangyun Network Technology Co., Ltd.",4,0.03,Yuqing County Yunshangyun Network Technology
Fuji Soft Incorporated,4,0.03,Fuji Soft
"Bell Data, Inc.",4,0.03,Bell Data
"Ar Telecom - Acessos e Redes de Telecomunicacoes, S.A.",4,0.03,Ar Telecom - Acessos e Redes de Telecomunicacoes
"Wana Corporate, SA",4,0.03,Wana Corporate
Servers Australia Pty. Ltd.,4,0.03,Servers Australia
Data Holdings,4,0.03,Data
Bitdeer Norway As,4,0.03,Bitdeer Norway
Lloyds Capital Ltd,4,0.03,Lloyds Capital
Multinet Pakistan (Private) Limited,4,0.03,Multinet Pakistan
Mainova AG,4,0.03,Mainova
Nation Data Center,4,0.03,Nation Data Center
SC Zeus Data Centers,4,0.03,SC Zeus Data Centers
Vdr Mutilva Sl,4,0.03,Vdr Mutilva Sl
Gaw Capital Partners,4,0.03,Gaw Capital Partners
"SK ecoplant Co., Ltd.",4,0.03,SK ecoplant
Atlas Development LLC,4,0.03,Atlas Development
"Mount Sunflower Properties, LLC",4,0.03,Mount Sunflower Properties
China Energy Engineering Corporation Limited,4,0.03,China Energy Engineering
Castleforge Partners,4,0.03,Castleforge Partners
Serverius B.V.,4,0.03,Serverius
Zhonghanyun Technology,4,0.03,Zhonghanyun Technology
TOT Public Company Limited,4,0.03,TOT
"Tonaquint Data Centers, LLC",4,0.03,Tonaquint Data Centers
WNET Global IP Network,4,0.03,WNET Global IP Network
"Sichuan Chuanxi Data Industry Co., Ltd.",4,0.03,Sichuan Chuanxi Data Industry
"Gangcheng Yunlian (Suzhou) Data System Co., Ltd.",4,0.03,Gangcheng Yunlian Data System
Xiangshouyun,4,0.03,Xiangshouyun
Over The Wire Pty Ltd.,3,0.02,Over The Wire
LeFrak Organization Inc.,3,0.02,LeFrak Organization
"NOCIX, LLC",3,0.02,NOCIX
3U Holding AG,3,0.02,3U
Vintek Pty. Ltd.,3,0.02,Vintek
Engie SA,3,0.02,Engie
Plan B Limited,3,0.02,Plan B
aixit GmbH,3,0.02,aixit
Salam,3,0.02,Salam
"Vaultas, Llc",3,0.02,Vaultas
Atlas Power Data Center,3,0.02,Atlas Power Data Center
"Otava, LLC",3,0.02,Otava
Datacenter United,3,0.02,Datacenter United
Apatura Ltd,3,0.02,Apatura
Celeste SAS,3,0.02,Celeste
Greendata,3,0.02,Greendata
Artnet AG,3,0.02,Artnet
Ascenix,3,0.02,Ascenix
PointOne Development Corp.,3,0.02,PointOne Development
"Allied Fiber, LLC",3,0.02,Allied Fiber
Hellenic Telecommunications Organization S.A.,3,0.02,Hellenic Telecommunications Organization
Fogo Data Centers LLC,3,0.02,Fogo Data Centers
"Hivelocity, Inc",3,0.02,Hivelocity
FullSave SAS,3,0.02,FullSave
Data Vault,3,0.02,Data Vault
T4 Group Limited,3,0.02,T4 Group
AAIM Data Centers Inc.,3,0.02,AAIM Data Centers
Badenit Gmbh,3,0.02,Badenit
"Shanghai Science and Technology Network Communication Co., Ltd",3,0.02,Shanghai Science and Technology Network Communication
United Information Highway Company Limited,3,0.02,United Information Highway
"Shanghai Phicomm Communication Co., Ltd.",3,0.02,Shanghai Phicomm Communication
Mawson Infrastructure Group Inc.,3,0.02,Mawson Infrastructure Group
Hofnetz und IT Services Gmbh,3,0.02,Hofnetz und IT Services
IPB/Carriercolo,3,0.02,IPB/Carriercolo
BT Italia S.p.A.,3,0.02,BT Italia
Foundry Digital LLC,3,0.02,Foundry Digital
Six Degrees Technology Group Ltd,3,0.02,Six Degrees Technology Group
BIT,3,0.02,BIT
Merkle Standard LLC,3,0.02,Merkle Standard
Sencinet,3,0.02,Sencinet
"Cleareon Fiber Networks, LLC",3,0.02,Cleareon Fiber Networks
"Secured Network Services, Inc.",3,0.02,Secured Network Services
Blue Hill Data Services,3,0.02,Blue Hill Data Services
Lwlcom Gmbh,3,0.02,Lwlcom
"New York Internet, Inc.",3,0.02,New York Internet
Webaxys,3,0.02,Webaxys
El Sewedy Power,3,0.02,El Sewedy Power
"The Brookfield Group, LLC",3,0.02,The Brookfield Group
Prometheus Hyperscale,3,0.02,Prometheus Hyperscale
Simple Mining,3,0.02,Simple Mining
Canvia,3,0.02,Canvia
Air Products,3,0.02,Air Products
Excalibur Technology Corporation,3,0.02,Excalibur Technology
SBA Communications Corporation,3,0.02,SBA Communications
The Charlotte Colocation Center LLC.,3,0.02,The Charlotte Colocation Center
Dtix,3,0.02,Dtix
SmartNetLink,3,0.02,SmartNetLink
Beijing Jinmao Green Building Technology Co. Ltd,3,0.02,Beijing Jinmao Green Building Technology
Lumina Cloudinfra Sg Pte. Ltd.,3,0.02,Lumina Cloudinfra Sg
"Lunavi, Inc.",3,0.02,Lunavi
StarHub Ltd,3,0.02,StarHub
X.AI LLC,3,0.02,X.AI
"Data102, LLC",3,0.02,Data102
CROC Incorporated,3,0.02,CROC
"Chubu Telecommunications Co., Ltd.",3,0.02,Chubu Telecommunications
Custodian Property Income REIT plc,3,0.02,Custodian Property Income
"Vergent, LLC",3,0.02,Vergent
NourNet,3,0.02,NourNet
Tunisie Télécom S.A.,3,0.02,Tunisie Télécom
Mirabella Group Corporation,3,0.02,Mirabella Group
NRB s.a./n.v.,3,0.02,NRB s.a./n.v
Talex S.A.,3,0.02,Talex
Dc Star Nv,3,0.02,Dc Star
Broadcasting Center Europe SA,3,0.02,Broadcasting Center Europe
Datagroup JSC,3,0.02,Datagroup
Vnet A S,3,0.02,VNET
Cuden Infocom,3,0.02,Cuden Infocom
N+ONE Solutions,3,0.02,N+ONE Solutions
"Andorra Telecom, SAU",3,0.02,"Andorra Telecom, SAU"
"PfalzKom, Gesellschaft für Telekommunikation mbH",3,0.02,"PfalzKom, Gesellschaft für Telekommunikation mbH"
DC77,3,0.02,DC77
Thorney Lane Llp,3,0.02,Thorney Lane
AMPLIA Communications,3,0.02,AMPLIA Communications
Lv.Net Llc,3,0.02,Lv.Net
Monaco Telecom SAM,3,0.02,Monaco Telecom SAM
Green Horizon As,3,0.02,Green Horizon
Systemec BV,3,0.02,Systemec
Interconnect Services B.V.,3,0.02,Interconnect Services
Massive Networks,3,0.02,Massive Networks
"Colony Capital, Inc.",3,0.02,Colony Capital
Damac Data Centres,3,0.02,Damac Data Centres
Empyrion Digital,3,0.02,Empyrion Digital
FastMine,3,0.02,FastMine
Jiaxin Cloud,3,0.02,Jiaxin Cloud
China Three Gorges,3,0.02,China Three Gorges
"DuPont Fabros Technology, Inc.",3,0.02,DuPont Fabros Technology
Thinktel Communications Ltd.,3,0.02,Thinktel Communications
Emp Secure As,3,0.02,Emp Secure
Oman Telecommunications Company SAOG,3,0.02,Oman Telecommunications Company SAOG
Bohannon Road Venture LLC,3,0.02,Bohannon Road Venture
"Beijing Qianjing Yunhai Technology Co., Ltd.",3,0.02,Beijing Qianjing Yunhai Technology
Gigapix,3,0.02,Gigapix
Lancium LLC,3,0.02,Lancium
Lonestar Dream Inc.,3,0.02,Lonestar Dream
Continent 8 Technologies PLC,3,0.02,Continent 8 Technologies
"Bitfury USA, Inc.",3,0.02,Bitfury USA
Sure International Limited,3,0.02,Sure International
Global Broadband K.K,3,0.02,Global Broadband
SIA Digitalas Ekonomikas Attistibas Centrs,3,0.02,SIA Digitalas Ekonomikas Attistibas Centrs
Instituto Tecnologico Y De Estudios Superiores De Monterrey,3,0.02,Instituto Tecnologico Y De Estudios Superiores De Monterrey
"Dreammark1 Co.,Ltd.",3,0.02,Dreammark1
Storespeed As,3,0.02,Storespeed
31173 Services Ab,3,0.02,31173 Services
"Gansu Electric Power Investment Jinchang Power Co., Ltd.",3,0.02,Gansu Electric Power Investment Jinchang Power
ACME Communications,3,0.02,ACME Communications
Shanghang Technology,3,0.02,Shanghang Technology
Hefeng Data,3,0.02,Hefeng Data
Zhongyun Data,3,0.02,Zhongyun Data
NEOM Company,3,0.02,NEOM
Linxdatacenter,3,0.02,Linxdatacenter
NOS SA,3,0.02,NOS
Global Access Point,3,0.02,Global Access Point
"Radius DC Reit III, LLC",3,0.02,Radius DC Reit III
Hutchison Drei Austria GmbH,3,0.02,Hutchison Drei Austria
Macquarie Telecom Pty Ltd.,3,0.02,Macquarie Telecom
AGP Sustainable Real Assets Holdings Pte. Ltd.,3,0.02,AGP Sustainable Real Assets
Ishan Netsol Pvt Ltd,3,0.02,Ishan Netsol Pvt
ITsjefen AS,3,0.02,ITsjefen
"Cellular South, Inc.",3,0.02,Cellular South
"CEIcloud Data Storage Technology (Beijing) Co., Ltd.",3,0.02,CEIcloud Data Storage Technology
Data One Corporation,3,0.02,Data One
Forthnet Media Holdings S.A. d/b/a Nova,3,0.02,Forthnet Media Holdings S.A. d/b/a Nova
S-NET Sp. z o. o.,3,0.02,S-NET
Basis Bay Sdn Bhd,3,0.02,Basis Bay
TeraWulf Inc.,3,0.02,TeraWulf
"QuadraNet, Inc.",3,0.02,QuadraNet
HL komm Telekommunikations GmbH,3,0.02,HL komm Telekommunikations
"Consolidated Communications Holdings, Inc.",3,0.02,Consolidated Communications
"Atlantic Metro Communications, Inc.",3,0.02,Atlantic Metro Communications
"MERLIN Properties SOCIMI, S.A.",3,0.02,MERLIN Properties SOCIMI
CKW Fiber Services AG,3,0.02,CKW Fiber Services
"CPD4Green Centro de Datos, S.L./Echelon Data Centres Limited",3,0.02,"CPD4Green Centro de Datos, S.L./Echelon Data Centres"
Netglobalis Telecom S.A.,3,0.02,Netglobalis Telecom
Newtelco Ukraine Ltd.,3,0.02,Newtelco Ukraine
Telenet,3,0.02,Telenet
Anant Raj Cloud Pvt Ltd,3,0.02,Anant Raj Cloud Pvt
Ukfast Ltd,3,0.02,Ukfast
Marunouchi Direct Access Limited,3,0.02,Marunouchi Direct Access
"STNet Co., Ltd.",3,0.02,STNet
"Contegix, LLC",3,0.02,Contegix
5G Networks Limited,3,0.02,5G Networks
Safaricom PLC,3,0.02,Safaricom
South Reach Networks,3,0.02,South Reach Networks
Telkom Kenya Limited,3,0.02,Telkom Kenya
Leaseweb Global B.V.,3,0.02,Leaseweb Global
Mindspace Business Parks REIT/Princeton Digital Group (Singapore) Pte. Limited,3,0.02,Princeton Digital Group
Spectranet Holdings Ltd.,3,0.02,Spectranet
Netia S.A.,3,0.02,Netia
Hoyos Consulting LLC,3,0.02,Hoyos Consulting
Interserver,3,0.02,Interserver
Stellium Datacenters Limited,3,0.02,Stellium Datacenters
Node4 Limited,3,0.02,Node4
Core Backbone GmbH,3,0.02,Core Backbone
Future FinTech Group Inc.,3,0.02,Future FinTech Group
USDC,3,0.02,USDC
Polaris Data Centre Unit Trust,3,0.02,Polaris Data Centre Unit
Logistics Capital Partners Limited,3,0.02,Logistics Capital Partners
Pemberton Tech Center,3,0.02,Pemberton Tech Center
Strateq Systems Sdn Bhd,3,0.02,Strateq Systems
Management Science Associates Inc.,3,0.02,Management Science Associates
Wattum,3,0.02,Wattum
Olkaria EcoCloud,3,0.02,Olkaria EcoCloud
Yiguangyun Data,3,0.02,Yiguangyun Data
"Quantum Loophole, Inc.",3,0.02,Quantum Loophole
TrueNetwork,3,0.02,TrueNetwork
Saudi Telecom Company,3,0.02,Saudi Telecom
"Telefónica, S.A.",3,0.02,Telefónica
Asanti Datacentres Limited,3,0.02,Asanti Datacentres
NorthPoint Development LLC,3,0.02,NorthPoint Development
SDP Acquisitions LLC,3,0.02,SDP Acquisitions
XEFI Software,3,0.02,XEFI Software
Dokom Gesellschaft FÜR Telekommunikation Mbh,3,0.02,Dokom Gesellschaft FÜR Telekommunikation Mbh
Dr.-Ing. Nepustil & Co. Gmbh Internet Service Center Ingenieurgesellschaft Für S,3,0.02,Dr.-Ing. Nepustil and Co. Gmbh Internet Service Center Ingenieurgesellschaft Für S
South Front Networks,3,0.02,South Front Networks
"Zhejiang Century Huatong Group Co.,Ltd",3,0.02,Zhejiang Century Huatong Group
"Zte Cloud Servie Co., Ltd.",3,0.02,Zte Cloud Servie
Sitel - Societa Cooperativa Di Produzione E Lavoro (In Sigla: Sitel Soc. Coop..,3,0.02,Sitel - Societa Cooperativa Di Produzione E Lavoro (In Sigla: Sitel Soc. Coop
Stack Telecommunications Solutions Ltd.,3,0.02,Stack Telecommunications Solutions
Su Tuo Communication,3,0.02,Su Tuo Communication
"Taiwan Mobile Co., Ltd.",3,0.02,Taiwan Mobile
Teknotel Telekomünikasyon Sanayi ve Ticaret A.S,3,0.02,Teknotel Telekomünikasyon Sanayi ve Ticaret
MIC Tanzania LTD,3,0.02,MIC Tanzania
Lendlease Group,3,0.02,Lendlease Group
TulsaConnect LLC,3,0.02,TulsaConnect
Bulgarian Telecommunications Company AD d/b/a VIVACOM,3,0.02,Bulgarian Telecommunications Company AD d/b/a VIVACOM
Kuanyuan Technology,3,0.02,Kuanyuan Technology
INFRATEL,3,0.02,INFRATEL
Amanah Tech,2,0.01,Amanah Tech
1-Net Singapore Pte Ltd.,2,0.01,1-Net Singapore
Hines Group,2,0.01,Hines Group
1623 Farnam,2,0.01,1623 Farnam
DataVita Ltd,2,0.01,DataVita
Basin Street Properties Inc.,2,0.01,Basin Street Properties
"Clise Properties, Inc.",2,0.01,Clise Properties
Shanghai Data Hub,2,0.01,Shanghai Data Hub
Beanfield Metroconnect Inc,2,0.01,Beanfield Metroconnect
"Overton Moore Properties, Inc.",2,0.01,Overton Moore Properties
Netmatrix Corporation,2,0.01,Netmatrix
"Harvest Properties, Inc.",2,0.01,Harvest Properties
Redcentric Communications Limited,2,0.01,Redcentric Communications
The Stahl Organization,2,0.01,The Stahl Organization
Mountain West Technology Inc.,2,0.01,Mountain West Technology
"World Class Holding Company, LLC",2,0.01,World Class
GigaNET,2,0.01,GigaNET
Hostnordic A/S,2,0.01,Hostnordic A/S
DataPlex Group Limited,2,0.01,DataPlex Group
Brightsolid Online Innovation Limited,2,0.01,Brightsolid Online Innovation
Globacom Limited,2,0.01,Globacom
Agility Logistics Parks,2,0.01,Agility Logistics Parks
Lebara GmbH,2,0.01,Lebara
"acens Technologies, S.L.U.",2,0.01,"acens Technologies, S.L.U"
Ethio Telecom Corporation,2,0.01,Ethio Telecom
Colocity Pty Ltd,2,0.01,Colocity
ADEXUS S.A.,2,0.01,ADEXUS
ASP Data Center As,2,0.01,ASP Data Center
Africell Holding,2,0.01,Africell
"Key Information Systems, Inc.",2,0.01,Key Information Systems
Latechco,2,0.01,Latechco
"Infotec, LLC",2,0.01,Infotec
Al-Mustaqbal Lil-Thaka Al-Istinai Company,2,0.01,Al-Mustaqbal Lil-Thaka Al-Istinai
Bharti Airtel Limited,2,0.01,Bharti Airtel
Bharti Airtel Nigeria Limited,2,0.01,Bharti Airtel Nigeria
Two Degrees Mobile Limited,2,0.01,Two Degrees Mobile
Datatech Uk Ltd.,2,0.01,Datatech Uk
Polcom Group,2,0.01,Polcom Group
"Wellesley Investment Partners, LLC",2,0.01,Wellesley Investment Partners
NaiTel,2,0.01,NaiTel
"Somerset Capital Group, Ltd.",2,0.01,Somerset Capital Group
Angola Cables S.A.,2,0.01,Angola Cables
"ChinaNet Technology(SuZhou)CO.,LTD",2,0.01,ChinaNet Technology
Grid Telekom,2,0.01,Grid Telekom
"Koramco Asset Management Co., Ltd.",2,0.01,Koramco Asset Management
Shinyoung,2,0.01,Shinyoung
"IGIS Asset Management Co., Ltd",2,0.01,IGIS Asset Management
Ansluten Hosting I Sverige Ab,2,0.01,Ansluten Hosting I Sverige
Unitel S.A.,2,0.01,Unitel
Cube Infrastructure Managers S.A.,2,0.01,Cube Infrastructure Managers
Itb2 Datacenters,2,0.01,Itb2 Datacenters
"Axtel, S.A.B. de C.V.",2,0.01,"Axtel, S"
PIMCO Europe GmbH,2,0.01,PIMCO Europe
ARPCE,2,0.01,ARPCE
Internet Protocol Telecom Limited,2,0.01,Internet Protocol Telecom
Avenir Telematique,2,0.01,Avenir Telematique
National Infrastructure for Research and Technology (GR-NET),2,0.01,National Infrastructure for Research and Technology
Synapsecom Telecoms  S.A.,2,0.01,Synapsecom Telecoms
"SAGO Networks, LLC",2,0.01,SAGO Networks
Tulip Systems Inc.,2,0.01,Tulip Systems
Coloblox Data Centers,2,0.01,Coloblox Data Centers
"Aureon Network Services, Inc.",2,0.01,Aureon Network Services
"Harrison Street Real Estate Capital, LLC",2,0.01,Harrison Street Real Estate Capital
Gigared S.A.,2,0.01,Gigared
Argo Blockchain plc,2,0.01,Argo Blockchain
InfraDMS,2,0.01,InfraDMS
Orange Romania Communications,2,0.01,Orange Romania Communications
JSC Baltnetos komunikacijos,2,0.01,JSC Baltnetos komunikacijos
NetGains Technologies,2,0.01,NetGains Technologies
NxtGen Datacenter & Cloud Technologies Private Limited,2,0.01,NxtGen Datacenter and Cloud Technologies
Data Center First,2,0.01,Data Center First
Quetta Data Centers,2,0.01,Quetta Data Centers
United Internet AG,2,0.01,United Internet
YCO Cloud Centers,2,0.01,YCO Cloud Centers
"Beale Infrastructure Group, LLC",2,0.01,Beale Infrastructure Group
"Penzance Management, LLC",2,0.01,Penzance Management
Algar Telecom S.A.,2,0.01,Algar Telecom
"NTT Global Data Centers Preparatory Corporation/Dimension Data North America, Inc.",2,0.01,NTT Global Data Centers
DNS:NET Internet Service GmbH,2,0.01,DNS:NET Internet Service
Data Castle,2,0.01,Data Castle
BorÅS ElnÄT Ab,2,0.01,BorÅS ElnÄT
Eastlink,2,0.01,Eastlink
Brac Informatics Centre Ltd,2,0.01,Brac Informatics Centre
Bitel,2,0.01,Bitel
Skyband Corporation,2,0.01,Skyband
"Telecom Real Estate Services, LLC",2,0.01,Telecom Real Estate Services
A5 Corporation,2,0.01,A5
BitInfra,2,0.01,BitInfra
Orange S.A.,2,0.01,Orange
Bluebite Gmbh,2,0.01,Bluebite
Faasri,2,0.01,Faasri
Digital Connexion,2,0.01,Digital Connexion
Lightower Fiber Networks LLC,2,0.01,Lightower Fiber Networks
Deep Green Technologies Limited,2,0.01,Deep Green Technologies
Plutex Gmbh,2,0.01,Plutex
Tokai Communications Corporation,2,0.01,Tokai Communications
Elmec Informatica S.p.A.,2,0.01,Elmec Informatica
Belgacom International Carrier Services SA,2,0.01,Belgacom International Carrier Services
M247 Limited,2,0.01,M247
"NCP Capital Management, LLC",2,0.01,NCP Capital Management
Koscom Corp.,2,0.01,Koscom
DQE Holdings LLC,2,0.01,DQE
4D Data Centres Ltd,2,0.01,4D Data Centres
SEACOM Ltd.,2,0.01,SEACOM
"GPX Global Systems, Inc.",2,0.01,GPX Global Systems
Cdlan S.R.L.,2,0.01,Cdlan
Camtel Inc.,2,0.01,Camtel
RSAWEB Internet Services,2,0.01,RSAWEB Internet Services
CDROM SA (Centre de Données Romand SA),2,0.01,CDROM
China Dragon Telecom,2,0.01,China Dragon Telecom
"Sna Cleveland, LLC",2,0.01,Sna Cleveland
Hitachi Sunway Information Systems Sdn Bhd,2,0.01,Hitachi Sunway Information Systems
Cerulean Global Capital LLC,2,0.01,Cerulean Global Capital
Cetin d.o.o. Beograd-novi Beograd,2,0.01,Cetin d.o.o. Beograd-novi Beograd
"ColoGuard Enterprise Solutions, LLC",2,0.01,ColoGuard Enterprise Solutions
360 TCS,2,0.01,360 TCS
"DLS Computer Services, Inc.",2,0.01,DLS Computer Services
Electric Power Board of Chattanooga Inc.,2,0.01,Electric Power Board of Chattanooga
"VeryCloud network (Jiangsu) co., LTD",2,0.01,VeryCloud network
SinoBBD,2,0.01,SinoBBD
"Provdotnet, LLC",2,0.01,Provdotnet
WHA Digital Platform,2,0.01,WHA Digital Platform
COMSATS Internet Services,2,0.01,COMSATS Internet Services
"Telecomunicaciones Digitales, S.A.",2,0.01,Telecomunicaciones Digitales
"Fusion Connect, Inc.",2,0.01,Fusion Connect
NCS Datacom,2,0.01,NCS Datacom
Telconet S.A.,2,0.01,Telconet
Togo,2,0.01,Togo
Cobranet,2,0.01,Cobranet
Nts Workspace Ag,2,0.01,Nts Workspace
"WideOpenWest, Inc.",2,0.01,WideOpenWest
Concentrix Rechenzentrum GmbH,2,0.01,Concentrix Rechenzentrum
Web Werks India Pvt. Ltd.,2,0.01,Web Werks India Pvt
ForgeLight LLC,2,0.01,ForgeLight
Cavaleros Group Holdings (Pty) Ltd,2,0.01,Cavaleros Group
Sonatel SA,2,0.01,Sonatel
Enterhost,2,0.01,Enterhost
Kryptovault AS,2,0.01,Kryptovault
Sahara Net LLC,2,0.01,Sahara Net
"Corporate Colocation, Inc",2,0.01,Corporate Colocation
Beyond.pl Sp. z o. o.,2,0.01,Beyond.pl
Wieske's Crew Gmbh,2,0.01,Wieskes Crew
Sota Solutions Limited,2,0.01,Sota Solutions
Data Facilities B.V.,2,0.01,Data Facilities
"Duomenu logistikos centras, UAB",2,0.01,"Duomenu logistikos centras, UAB"
Data Journey,2,0.01,Data Journey
Databarn Amsterdam BV,2,0.01,Databarn Amsterdam
Login LLC,2,0.01,Login
Antel Corporation,2,0.01,Antel
ClaroVTR,2,0.01,ClaroVTR
Citycom Telekommunikation GmbH,2,0.01,Citycom Telekommunikation
Reflex Solutions (Pty) Ltd,2,0.01,Reflex Solutions
envia TEL GmbH,2,0.01,envia TEL
Cyprus Telecommunications Authority,2,0.01,Cyprus Telecommunications Authority
SynAApS,2,0.01,SynAApS
Datacentreplus,2,0.01,Datacentreplus
Delta LLC,2,0.01,Delta
"Dataone Asia (Philippines), Inc.",2,0.01,Dataone Asia
Datapark Nederland,2,0.01,Datapark Nederland
Datasource,2,0.01,Datasource
DataVolt,2,0.01,DataVolt
Genesys Informatica S.R.L.,2,0.01,Genesys Informatica
IMAQLIQ TV,2,0.01,IMAQLIQ TV
IPTP Networks,2,0.01,IPTP Networks
Internet Solutions (Pty) Limited,2,0.01,Internet Solutions
Miran,2,0.01,Miran
Bytedance Ltd,2,0.01,Bytedance
Akado Telecom,2,0.01,Akado Telecom
Ati Solutions Inc.,2,0.01,Ati Solutions
Mightycare Solutions Gmbh,2,0.01,Mightycare Solutions
Tasmanet Pty. Ltd.,2,0.01,Tasmanet
"Experis Technology Group, Inc.",2,0.01,Experis Technology Group
HyperTec Systems Inc.,2,0.01,HyperTec Systems
housing.com.ar,2,0.01,housing.com.ar
Stratus Data Centres,2,0.01,Stratus Data Centres
NEOM Tech & Digital Company,2,0.01,NEOM Tech and Digital
Greenhouse Datacenters BV,2,0.01,Greenhouse Datacenters
DC2Scale,2,0.01,DC2Scale
Hopone Internet Corporation,2,0.01,Hopone Internet
BeMobile,2,0.01,BeMobile
DCP Data Center Partners GmbH,2,0.01,DCP Data Center Partners
Open DC,2,0.01,Open DC
Ricoh,2,0.01,Ricoh
neGma Business Solutions,2,0.01,neGma Business Solutions
Vastnet,2,0.01,Vastnet
ManagedWay,2,0.01,ManagedWay
Digital Hyperspace,2,0.01,Digital Hyperspace
Xsalto,2,0.01,Xsalto
New Hosting Company,2,0.01,New Hosting
Djibouti Data Center (DDC),2,0.01,Djibouti Data Center
Anhua Data,2,0.01,Anhua Data
SMARTS,2,0.01,SMARTS
Serbia,2,0.01,Serbia
K2,2,0.01,K2
Datamena,2,0.01,Datamena
DXC Technology Company,2,0.01,DXC Technology
eServer.ru,2,0.01,eServer.ru
"Lifeline Data Centers, LLC",2,0.01,Lifeline Data Centers
PT. Indonet,2,0.01,PT. Indonet
EdgeUno,2,0.01,EdgeUno
"eHosting Datafort, Inc.",2,0.01,eHosting Datafort
Enegix,2,0.01,Enegix
Schwarz Group Gmbh,2,0.01,Schwarz Group
"Energia Communications,Inc.",2,0.01,Energia Communications
InterDC,2,0.01,InterDC
Empresa Nacional de Telecomunicaciones S.A.,2,0.01,Empresa Nacional de Telecomunicaciones
MTS Data Centres,2,0.01,MTS Data Centres
Digi Power X Inc.,2,0.01,Digi Power X
Cygrids Communications AB,2,0.01,Cygrids Communications
Broadband Gibraltar Limited,2,0.01,Broadband Gibraltar
Evolink Ltd,2,0.01,Evolink
evroc AB,2,0.01,evroc
ANEXIO Inc.,2,0.01,ANEXIO
Arpitel S.R.L.,2,0.01,Arpitel
Crane Data Centers Inc.,2,0.01,Crane Data Centers
Quantum Optical Data,2,0.01,Quantum Optical Data
GIC-Equinix xScale JV,2,0.01,Equinix
Keppel Data Centres Pte Ltd.,2,0.01,Keppel
Infuracom Gmbh,2,0.01,Infuracom
Secure Hosting Communications Ltd,2,0.01,Secure Hosting Communications
Cloud Carib,2,0.01,Cloud Carib
"GCX Corporation, U.C.C.",2,0.01,"GCX Corporation, U.C.C"
Infocom Trusted Security,2,0.01,Infocom Trusted Security
Gav-Yam Lands Corp. Ltd,2,0.01,Gav-Yam Lands
Göteborg Energi Aktiebolag,2,0.01,Göteborg Energi Aktiebolag
Greenex Data Centre,2,0.01,Greenex Data Centre
Grupo ZGH,2,0.01,Grupo ZGH
Youhong Information,2,0.01,Youhong Information
GCBD,2,0.01,GCBD
"Sejong Telecom, Inc.",2,0.01,Sejong Telecom
"Quest Media & Supplies, Inc.",2,0.01,Quest Media and Supplies
013 Netvision Ltd,2,0.01,013 Netvision
Conova Communications GmbH,2,0.01,Conova Communications
"Deer Valley Data, LLC",2,0.01,Deer Valley Data
"NetAccess Systems, Inc.",2,0.01,NetAccess Systems
Vision Data Center,2,0.01,Vision Data Center
ESCOM,2,0.01,ESCOM
Jordan Telecommunications Company,2,0.01,Jordan Telecommunications
Helen Oy,2,0.01,Helen
Superior B.V.,2,0.01,Superior
"Intelligent Fiber Network, LLC",2,0.01,Intelligent Fiber Network
"Ace Host, LLC",2,0.01,Ace Host
HK Serverworks,2,0.01,HK Serverworks
New World Telecommunications Ltd.,2,0.01,New World Telecommunications
"DR Fortress, LLC",2,0.01,DR Fortress
Windstream Hosted Solutions,2,0.01,Windstream
Meatec,2,0.01,Meatec
"Data Technology Co.,Ltd.",2,0.01,Data Technology
Shenzhen Huateng Smart Technology,2,0.01,Shenzhen Huateng Smart Technology
"Colovore, LLC",2,0.01,Colovore
I-Net Corp.,2,0.01,I-Net
Ibh,2,0.01,Ibh
Icade,2,0.01,Icade
Rack Centre Limited,2,0.01,Rack Centre
