Facility Owner,Count,% of Total,Search Company Name
Fujitsu Limited,19,0.13,Fujitsu
"CNISP Group Co., Ltd.",19,0.13,CNISP Group
Bulk Infrastructure Holding AS,19,0.13,Bulk Infrastructure
Gulf Data Hub,19,0.13,Gulf Data Hub
"fifteenfortyseven Critical Systems Realty, LLC",18,0.13,1547
Pulsant Limited,18,0.13,Pulsant
TM ONE Berhad,18,0.13,TM One
MTN Group Limited,17,0.12,MTN
Ark Data Centres Limited,17,0.12,Ark Data Centres
Digital Edge,17,0.12,Digital Edge
"LG CNS Co., Ltd.",17,0.12,LG CNS
eStruxture Data Centers Inc.,17,0.12,eStruxture Data Centers
"CleanSpark, Inc.",17,0.12,CleanSpark
Iadvantage Limited,17,0.12,iAdvantage
Runxun Data,17,0.12,Runxun Data
SEGRO Plc,17,0.12,SEGRO
"DartPoints, LLC",16,0.11,DartPoints
"Expedient Holdings USA, LLC",16,0.11,Expedient
Rowan Digital Infrastructure Pty Ltd,16,0.11,Rowan Digital Infrastructure
CAT Telecom Public Company Limited,16,0.11,CAT Telecom
Reef Group,16,0.11,Reef Group
"Keihanshin Building Co., Ltd.",16,0.11,Keihanshin Building
Hangzhou Iron&Steel Group Company,16,0.11,Hangzhou Iron and Steel Group
Public Joint Stock Company MegaFon,16,0.11,MegaFon
"Longrui Industry (Hainan) Co., Ltd.",16,0.11,Longrui Industry
Spark New Zealand Limited,15,0.11,Spark
Penta Infra,15,0.11,Penta Infra
DC BLOX Inc.,15,0.11,DC BLOX
Bohao Internet Data,15,0.11,Bohao Internet Data
"Shenzhen Powerleader Technology Co., Ltd.",15,0.11,Shenzhen Powerleader Technology
Vodacom Group Limited,15,0.11,Vodacom
Rogers Communications Canada Inc.,15,0.11,Rogers
Yotta Infrastructure Solutions LLP,15,0.11,Yotta
Etix Everywhere France SAS,15,0.11,Etix Everywhere
YTL Corporation Berhad,15,0.11,YTL
"Sungard Availability Services Capital, Inc.",14,0.1,Sungard Availability Services
"Windstream Holdings II, LLC",14,0.1,Windstream
Goodman Group,14,0.1,Goodman
Nextstream Limited,14,0.1,Nextstream
